setup,id,model_name,x,y,z,roll,pitch,yaw
setup1,1,gate,4.0,4.0,0.0,0.0,0.0,2.0
setup1,2,gate,5.0,0.0,0.0,0.0,0.0,1.57
setup1,3,gate,4.0,-4.0,0.0,0.0,0.0,1.0
setup1,1,label,4.0,4.0,2.75,0.0,0.0,3.57
setup1,2,label,5.0,0.0,2.75,0.0,0.0,3.14
setup1,3,label,4.0,-4.0,2.75,0.0,0.0,2.57
setup1,1,math,4.0,1.0,4.0,0.0,0.0,3.14
setup1,2,math,4.0,0.0,4.0,0.0,0.0,3.14
setup1,3,math,4.0,-1.0,4.0,0.0,0.0,3.14
